index,customerID,Churn,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,ChargesMonthly
50,0082-OQIQY,0,Male,0,0,0,29,1,No,Fiber_optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic_check,94.2
51,0083-PIVIK,0,Male,0,0,0,64,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One_year,0,Electronic_check,81.25
52,0089-IIQKO,0,Female,0,1,1,39,1,Yes,Fiber_optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Credit_card_(automatic),99.95
53,0093-EXYQL,0,Female,1,0,0,40,1,No,Fiber_optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic_check,91.55
54,0093-XWZFY,1,Male,0,0,0,40,1,Yes,Fiber_optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Credit_card_(automatic),104.5
55,0094-OIFMO,1,Female,1,0,0,11,1,No,Fiber_optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic_check,95.0
56,0096-BXERS,0,Female,0,1,0,6,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic_check,50.35
57,0096-FCPUF,0,Male,0,0,0,30,1,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,1,Mailed_check,64.5
58,0098-BOWSO,0,Male,0,0,0,27,1,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Month-to-month,1,Electronic_check,19.4
59,0100-DUVFC,0,Male,1,1,0,70,1,Yes,Fiber_optic,No,Yes,Yes,No,Yes,Yes,One_year,1,Electronic_check,104.8
60,0103-CSITQ,0,Female,0,1,0,57,1,Yes,Fiber_optic,No,Yes,Yes,Yes,Yes,Yes,One_year,1,Bank_transfer_(automatic),109.4
61,0104-PPXDV,0,Male,0,1,0,58,1,No,DSL,No,No,Yes,No,No,No,One_year,0,Credit_card_(automatic),50.3
62,0106-GHRQR,0,Male,0,0,0,16,1,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,1,Bank_transfer_(automatic),71.4
63,0106-UGRDO,0,Female,0,1,0,69,1,Yes,Fiber_optic,Yes,Yes,Yes,Yes,Yes,Yes,Two_year,1,Electronic_check,116.0
64,0107-WESLM,1,Male,0,0,0,1,1,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Month-to-month,1,Electronic_check,19.85
65,0107-YHINA,1,Male,0,0,1,1,1,Yes,Fiber_optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic_check,99.75
66,0111-KLBQG,0,Male,1,1,1,32,1,No,Fiber_optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Mailed_check,93.95
67,0112-QAWRZ,0,Male,0,1,1,16,1,Yes,Fiber_optic,No,No,Yes,No,Yes,No,Month-to-month,1,Bank_transfer_(automatic),90.8
68,0112-QWPNC,1,Male,0,1,0,49,1,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One_year,0,Electronic_check,84.35
69,0114-IGABW,0,Female,0,1,0,71,0,No_phone_service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two_year,0,Bank_transfer_(automatic),58.25
70,0114-PEGZZ,0,Female,0,0,0,33,1,Yes,Fiber_optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,0,Electronic_check,107.55
71,0114-RSRRW,0,Female,0,1,0,10,1,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Month-to-month,1,Bank_transfer_(automatic),19.95
72,0115-TFERT,1,Male,0,1,0,21,1,Yes,Fiber_optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic_check,111.2
73,0117-LFRMW,1,Male,0,1,1,37,0,No_phone_service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,0,Bank_transfer_(automatic),40.2
74,0118-JPNOY,0,Female,1,0,0,26,1,No,Fiber_optic,Yes,No,No,No,Yes,No,Month-to-month,1,Credit_card_(automatic),85.8
76,0121-SNYRK,0,Male,0,0,0,50,0,No_phone_service,DSL,Yes,No,No,Yes,No,No,One_year,1,Mailed_check,35.4
77,0122-OAHPZ,1,Female,0,0,0,7,1,Yes,Fiber_optic,No,No,No,No,No,No,Month-to-month,1,Electronic_check,73.85
78,0123-CRBRT,0,Female,0,1,1,61,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two_year,0,Mailed_check,88.1
79,0125-LZQXK,1,Male,0,0,0,15,1,No,Fiber_optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic_check,101.35
80,0128-MKWSG,0,Female,0,0,1,26,0,No_phone_service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,0,Mailed_check,45.8
81,0129-KPTWJ,0,Male,0,1,0,72,1,No,Fiber_optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic_check,94.65
82,0129-QMPDR,0,Male,0,1,1,44,1,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,One_year,1,Bank_transfer_(automatic),20.5
83,0130-SXOUN,0,Male,0,0,0,66,1,Yes,Fiber_optic,No,Yes,No,No,No,Yes,Month-to-month,0,Credit_card_(automatic),89.4
84,0133-BMFZO,1,Female,0,0,0,2,1,No,Fiber_optic,Yes,Yes,No,Yes,No,No,Month-to-month,1,Electronic_check,86.25
85,0134-XWXCE,0,Female,1,0,0,44,1,No,DSL,No,No,Yes,Yes,Yes,Yes,One_year,0,Bank_transfer_(automatic),74.85
86,0135-NMXAP,1,Female,0,0,0,12,1,Yes,Fiber_optic,No,Yes,No,No,Yes,No,Month-to-month,1,Bank_transfer_(automatic),89.75
87,0136-IFMYD,0,Male,1,1,0,69,1,Yes,Fiber_optic,No,Yes,Yes,Yes,Yes,Yes,Two_year,1,Electronic_check,109.95
88,0137-OCGAB,1,Female,0,0,0,1,1,Yes,Fiber_optic,No,Yes,No,No,No,No,Month-to-month,1,Mailed_check,80.2
89,0137-UDEUO,1,Female,0,0,0,3,1,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Month-to-month,0,Mailed_check,19.85
90,0139-IVFJG,0,Female,0,1,0,2,1,No,Fiber_optic,Yes,Yes,No,No,Yes,No,Month-to-month,0,Electronic_check,90.35
91,0141-YEAYS,0,Female,1,0,0,27,1,Yes,Fiber_optic,No,Yes,Yes,No,No,No,Month-to-month,1,Bank_transfer_(automatic),86.45
92,0142-GVYSN,0,Male,0,0,0,26,1,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Month-to-month,1,Electronic_check,20.3
93,0147-ESWWR,0,Female,1,1,0,39,1,Yes,Fiber_optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic_check,101.25
94,0148-DCDOS,1,Male,0,0,0,25,1,Yes,Fiber_optic,No,No,No,No,Yes,Yes,Month-to-month,1,Bank_transfer_(automatic),94.7
95,0151-ONTOV,1,Female,0,0,0,1,1,No,Fiber_optic,No,No,No,No,No,No,Month-to-month,0,Mailed_check,70.9
97,0156-FVPTA,1,Male,0,1,0,22,1,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,1,Electronic_check,54.2
99,0164-APGRB,0,Female,0,0,0,72,1,Yes,Fiber_optic,Yes,Yes,Yes,Yes,Yes,Yes,Two_year,1,Electronic_check,114.9
100,0164-XAIRP,0,Female,0,0,0,24,1,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Two_year,1,Bank_transfer_(automatic),19.55
101,0168-XZKBB,0,Female,0,1,0,19,1,Yes,Fiber_optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic_check,86.85
102,0174-QRVVY,0,Male,0,1,1,71,1,Yes,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Two_year,0,Credit_card_(automatic),25.35
103,0177-PXBAT,0,Male,1,1,0,33,1,Yes,Fiber_optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,1,Bank_transfer_(automatic),109.9
104,0178-CIIKR,0,Female,0,0,0,3,1,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Month-to-month,0,Mailed_check,19.95
105,0178-SZBHO,0,Male,0,1,1,47,1,Yes,Fiber_optic,No,Yes,No,No,Yes,No,Month-to-month,0,Electronic_check,87.2
106,0181-RITDD,0,Male,0,1,1,62,1,No,Fiber_optic,Yes,Yes,Yes,Yes,Yes,Yes,Two_year,0,Mailed_check,108.15
107,0186-CAERR,0,Male,0,0,0,71,1,Yes,Fiber_optic,Yes,Yes,Yes,Yes,Yes,Yes,One_year,1,Bank_transfer_(automatic),116.3
108,0187-QSXOE,0,Male,1,1,0,7,1,No,Fiber_optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic_check,89.0
109,0187-WZNAB,0,Female,0,1,1,27,1,No,Fiber_optic,Yes,No,No,No,No,No,Month-to-month,0,Mailed_check,74.4
110,0188-GWFLE,0,Male,0,0,0,2,1,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Month-to-month,0,Mailed_check,20.05
111,0191-EQUUH,0,Female,0,0,1,25,0,No_phone_service,DSL,Yes,No,No,Yes,No,No,Two_year,0,Bank_transfer_(automatic),35.05
112,0191-ZHSKZ,0,Male,1,0,0,30,1,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic_check,74.75
113,0193-ESZXP,1,Female,1,1,0,58,1,No,Fiber_optic,Yes,Yes,No,Yes,Yes,Yes,One_year,1,Credit_card_(automatic),105.5
114,0195-IESCP,1,Male,0,1,0,10,1,Yes,Fiber_optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic_check,85.25
115,0196-JTUQI,0,Female,0,0,0,9,1,Yes,Fiber_optic,No,No,No,No,No,No,Month-to-month,1,Credit_card_(automatic),75.2
116,0196-VULGZ,1,Female,1,1,0,6,1,Yes,Fiber_optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic_check,84.35
117,0197-PNKNK,0,Female,0,1,1,69,1,Yes,Fiber_optic,Yes,No,Yes,No,No,No,One_year,0,Bank_transfer_(automatic),84.45
118,0201-MIBOL,0,Female,1,0,0,66,1,Yes,Fiber_optic,Yes,No,No,No,Yes,Yes,Two_year,1,Bank_transfer_(automatic),102.4
119,0201-OAMXR,1,Female,0,0,0,70,1,Yes,Fiber_optic,Yes,Yes,Yes,Yes,Yes,Yes,One_year,0,Credit_card_(automatic),115.55
120,0203-HHYIJ,1,Male,0,0,0,25,1,Yes,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,One_year,0,Bank_transfer_(automatic),25.3
121,0206-OYVOC,0,Female,0,1,1,46,1,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Two_year,1,Mailed_check,19.25
122,0206-TBWLC,0,Female,0,1,0,54,1,Yes,Fiber_optic,Yes,Yes,Yes,Yes,Yes,Yes,One_year,1,Mailed_check,114.65
123,0207-MDKNV,1,Female,0,0,0,15,1,No,Fiber_optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,0,Electronic_check,105.1
124,0208-BPQEJ,0,Female,0,1,1,12,1,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Month-to-month,0,Bank_transfer_(automatic),19.4
125,0212-ISBBF,0,Female,0,0,0,22,0,No_phone_service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic_check,50.35
126,0214-JHPFW,0,Female,0,1,0,70,0,No_phone_service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two_year,0,Bank_transfer_(automatic),57.8
127,0215-BQKGS,0,Male,0,0,0,30,1,No,Fiber_optic,Yes,Yes,Yes,No,No,No,Month-to-month,1,Credit_card_(automatic),84.3
128,0218-QNVAS,0,Male,0,1,1,71,1,Yes,Fiber_optic,No,Yes,No,No,Yes,Yes,One_year,0,Bank_transfer_(automatic),100.55
129,0219-QAERP,0,Male,0,1,0,30,1,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,One_year,0,Credit_card_(automatic),19.8
130,0219-YTZUE,1,Male,0,1,1,4,1,Yes,Fiber_optic,No,Yes,Yes,No,No,No,Month-to-month,1,Bank_transfer_(automatic),84.8
131,0220-EBGCE,1,Male,0,0,0,2,1,No,Fiber_optic,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic_check,85.85
132,0221-NAUXK,0,Male,0,0,1,10,1,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,One_year,1,Bank_transfer_(automatic),19.95
133,0221-WMXNQ,0,Male,1,0,0,4,1,No,Fiber_optic,Yes,No,No,No,No,No,Month-to-month,0,Electronic_check,75.35
134,0222-CNVPT,0,Male,1,0,0,52,0,No_phone_service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,1,Credit_card_(automatic),48.8
135,0224-HJAPT,1,Male,0,0,0,5,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic_check,47.15
136,0224-NIJLP,0,Male,0,1,1,8,1,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Two_year,0,Mailed_check,20.15
137,0224-RLWWD,0,Female,1,0,0,2,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic_check,44.3
138,0225-ZORZP,0,Male,0,0,0,3,1,No,Fiber_optic,No,Yes,No,No,No,Yes,Month-to-month,0,Electronic_check,84.3
139,0228-MAUWC,0,Male,0,0,0,19,1,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,0,Electronic_check,59.55
140,0229-LFJAF,0,Male,0,0,0,72,1,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two_year,0,Bank_transfer_(automatic),69.65
141,0230-UBYPQ,0,Male,1,1,0,63,0,No_phone_service,DSL,Yes,No,No,Yes,No,No,One_year,0,Bank_transfer_(automatic),36.1
142,0230-WEQUW,0,Male,0,1,0,66,0,No_phone_service,DSL,Yes,Yes,Yes,Yes,Yes,No,Two_year,1,Bank_transfer_(automatic),56.6
143,0231-LXVAP,1,Male,0,0,0,1,1,No,Fiber_optic,No,No,No,Yes,No,No,Month-to-month,1,Electronic_check,75.9
144,0233-FTHAV,0,Female,0,0,0,60,1,Yes,Fiber_optic,No,No,Yes,No,No,No,One_year,1,Bank_transfer_(automatic),79.2
145,0234-TEVTT,0,Female,0,1,1,48,0,No_phone_service,DSL,Yes,No,Yes,No,No,Yes,One_year,0,Credit_card_(automatic),45.0
146,0235-KGSLC,1,Female,0,0,0,1,1,No,Fiber_optic,No,No,Yes,No,Yes,No,Month-to-month,1,Credit_card_(automatic),85.55
147,0236-HFWSV,1,Male,0,0,0,15,1,Yes,Fiber_optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic_check,93.35
148,0237-YFUTL,0,Female,0,1,0,50,1,Yes,Fiber_optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,1,Bank_transfer_(automatic),109.65
149,0238-WHBIQ,0,Male,0,1,1,72,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two_year,0,Credit_card_(automatic),89.7
150,0239-OXEXL,0,Female,0,0,0,46,1,Yes,Fiber_optic,Yes,Yes,No,No,No,No,Month-to-month,0,Mailed_check,84.25
151,0244-LGNFY,0,Female,0,1,1,72,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two_year,0,Bank_transfer_(automatic),92.65
152,0247-SLUJI,0,Male,0,1,1,1,1,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Month-to-month,0,Mailed_check,19.7
153,0248-IPDFW,0,Female,0,0,0,1,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic_check,50.1
154,0248-PGHBZ,0,Female,1,0,0,67,1,No,Fiber_optic,Yes,Yes,No,Yes,Yes,No,Two_year,1,Bank_transfer_(automatic),92.45
155,0253-ZTEOB,0,Female,0,1,1,48,1,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two_year,0,Electronic_check,79.65
156,0254-FNMCI,0,Female,0,0,0,72,1,No,Fiber_optic,Yes,Yes,Yes,Yes,Yes,Yes,Two_year,1,Electronic_check,109.9
157,0254-KCJGT,0,Male,0,1,0,52,1,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One_year,1,Credit_card_(automatic),81.4
158,0254-WWRKD,0,Female,0,1,1,67,1,No,DSL,No,Yes,No,No,No,No,One_year,0,Credit_card_(automatic),50.55
159,0256-LTHVJ,1,Female,0,1,1,28,1,No,Fiber_optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic_check,81.05
160,0257-KXZGU,0,Female,0,1,1,32,1,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,0,Bank_transfer_(automatic),62.45
161,0257-ZESQC,1,Female,1,1,0,27,1,No,Fiber_optic,Yes,No,No,No,No,No,Month-to-month,1,Bank_transfer_(automatic),75.2
162,0258-NOKBL,0,Male,0,0,0,3,1,No,Fiber_optic,No,Yes,Yes,No,No,Yes,Month-to-month,0,Electronic_check,90.4
163,0259-GBZSH,1,Male,0,0,0,2,1,Yes,Fiber_optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic_check,85.65
164,0260-ZDLGK,1,Female,0,0,1,9,1,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Mailed_check,72.9
165,0263-FJTQO,0,Male,0,1,1,50,1,Yes,DSL,Yes,No,No,Yes,Yes,No,Two_year,1,Credit_card_(automatic),70.5
166,0264-CNITK,0,Female,0,1,1,71,1,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Two_year,0,Bank_transfer_(automatic),20.1
167,0265-EDXBD,1,Male,1,1,0,32,1,Yes,Fiber_optic,No,No,No,No,No,No,Month-to-month,1,Electronic_check,74.9
168,0265-PSUAE,0,Female,0,1,1,16,1,No,Fiber_optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,0,Bank_transfer_(automatic),100.7
169,0266-CLZKZ,0,Female,0,1,1,67,1,Yes,Fiber_optic,No,No,Yes,Yes,Yes,Yes,Two_year,1,Bank_transfer_(automatic),105.65
170,0266-GMEAO,0,Male,0,1,1,72,1,Yes,Fiber_optic,Yes,Yes,Yes,Yes,Yes,Yes,Two_year,1,Credit_card_(automatic),114.3
171,0268-QKIWO,1,Female,0,0,0,3,1,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Month-to-month,0,Electronic_check,19.75
172,0269-XFESX,0,Male,0,1,1,23,1,Yes,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,One_year,0,Mailed_check,24.35
173,0270-THENM,0,Male,0,1,1,72,1,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two_year,0,Bank_transfer_(automatic),69.85
174,0274-JKUJR,0,Male,0,1,1,7,0,No_phone_service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,0,Mailed_check,58.85
176,0277-BKSQP,0,Male,0,1,1,8,1,No,DSL,No,No,No,No,Yes,No,Month-to-month,1,Electronic_check,54.4
177,0277-ORXQS,0,Male,0,1,1,66,0,No_phone_service,DSL,No,No,No,Yes,Yes,Yes,Two_year,0,Bank_transfer_(automatic),50.55
178,0278-YXOOG,1,Male,0,0,0,5,1,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Month-to-month,0,Mailed_check,21.05
